# Created by Octave 3.6.2, Sun Sep 30 20:26:26 2012 IST <pankajm@pankaj_Y9402>
# name: O
# type: matrix
# rows: 51
# columns: 2
 10 1
 11 1
 12 0.998
 13 0.994
 14 0.992
 15 0.982
 16 0.97
 17 0.95
 18 0.9399999999999999
 19 0.926
 20 0.89
 21 0.874
 22 0.8179999999999999
 23 0.764
 24 0.6820000000000001
 25 0.634
 26 0.588
 27 0.516
 28 0.46
 29 0.39
 30 0.304
 31 0.298
 32 0.198
 33 0.158
 34 0.15
 35 0.1
 36 0.08799999999999999
 37 0.07199999999999999
 38 0.052
 39 0.038
 40 0.014
 41 0.004
 42 0.014
 43 0.008
 44 0.002
 45 0.004
 46 0.002
 47 0
 48 0.002
 49 0
 50 0
 51 0
 52 0
 53 0
 54 0
 55 0
 56 0
 57 0
 58 0
 59 0
 60 0


