# Created by Octave 3.6.2, Sun Sep 30 19:52:22 2012 IST <pankajm@pankaj_Y9402>
# name: O
# type: matrix
# rows: 46
# columns: 2
 5 0.054
 6 0.114
 7 0.248
 8 0.328
 9 0.43
 10 0.522
 11 0.606
 12 0.626
 13 0.782
 14 0.788
 15 0.854
 16 0.876
 17 0.888
 18 0.906
 19 0.928
 20 0.93
 21 0.952
 22 0.968
 23 0.974
 24 0.974
 25 0.972
 26 0.982
 27 0.996
 28 0.994
 29 0.996
 30 0.998
 31 0.994
 32 0.996
 33 0.998
 34 1
 35 0.998
 36 0.996
 37 0.998
 38 1
 39 0.996
 40 1
 41 0.996
 42 1
 43 1
 44 1
 45 0.998
 46 1
 47 1
 48 1
 49 1
 50 1


