@relation clusters_input

@attribute 91 numeric
@attribute 239 numeric

@data
59,120
142,267
161,142
69,67
173,42
87,236
91,226
135,221
49,190
49,124
104,76
48,199
37,69
63,234
78,168
66,59
127,239
67,121
50,198
70,66
142,251
73,265
51,189
129,87
36,208
162,237
22,147
115,145
172,248
129,243
23,240
60,259
178,255
158,238
77,158
35,156
129,75
29,226
73,87
49,198
173,34
42,269
30,251
35,43
56,194
132,249
64,116
143,223
71,263
140,215
125,136
161,249
51,64
64,57
53,56
69,152
89,253
54,216
135,155
40,209
96,94
30,217
148,235
69,121
129,86
67,192
40,229
31,156
131,66
53,203
22,149
40,42
38,127
130,239
58,57
174,145
46,53
123,155
29,55
141,56
35,71
95,96
86,245
133,221
71,73
29,246
36,167
26,245
86,226
39,264
161,241
51,113
32,49
55,207
156,53
71,70
129,236
29,252
39,211
32,154
46,54
75,242
27,139
26,253
51,239
29,43
92,242
65,190
57,38
162,251
37,206
76,133
69,270
146,144
25,148
87,68
50,47
131,86
49,56
130,244
34,148
101,82
23,230
55,206
67,199
105,80
80,169
66,214
34,206
132,242
74,150
49,186
20,147
51,148
159,235
163,249
145,134
62,47
34,139
52,201
31,29
80,87
38,141
21,236
46,149
35,140
70,126
76,179
167,232
67,258
75,150
87,240
96,90
77,228
133,241
63,116
136,239
97,71
33,133
68,152
70,67
61,66
51,267
79,141
72,265
35,138
146,135
104,77
69,91
48,258
97,143
72,247
67,91
190,145
76,91
46,197
49,118
71,67
32,150
36,81
46,233
65,54
149,243
144,222
40,210
77,159
52,238
40,233
66,191
24,221
146,134
50,64
157,236
89,76
149,241
68,77
23,253
30,205
92,70
43,205
59,195
80,249
72,88
56,196
131,247
31,42
63,272
29,259
63,222
132,241
43,124
33,53
129,79
76,205
27,226
23,251
68,252
37,183
62,68
77,166
74,69
55,196
77,255
59,272
77,151
87,91
158,154
67,120
79,249
79,89
47,55
61,257
90,87
40,205
142,224
161,229
129,221
70,185
171,42
183,147
92,81
65,258
57,253
69,67
169,44
28,141
129,265
62,192
146,52
37,129
34,209
31,181
150,224
145,247
76,131
86,103
46,245
79,266
30,252
66,88
26,210
88,132
162,231
31,67
29,218
36,185
136,223
72,259
167,231
41,209
84,151
33,146
122,154
147,225
77,184
115,135
32,157
34,29
51,40
37,41
36,201
72,89
77,142
88,86
108,134
35,134
70,186
71,185
66,52
136,221
37,237
32,69
29,232
84,222
37,168
68,191
51,244
35,148
146,223
29,225
58,275
38,186
116,229
145,143
25,242
181,256
159,236
100,92
79,264
137,136
64,59
161,136
91,94
33,145
46,188
71,125
102,97
53,221
143,56
30,158
88,249
99,142
135,136
60,120
31,204
167,45
115,237
66,62
36,200
62,58
82,99
46,148
139,221
30,145
173,28
93,94
43,264
45,206
23,235
99,78
85,143
30,218
57,259
56,270
131,85
79,173
153,135
22,140
66,142
165,232
29,262
83,265
70,84
65,215
76,199
32,238
70,184
146,54
30,262
39,42
58,235
76,260
113,240
92,233
47,123
91,255
71,127
40,209
83,89
39,29
129,74
40,270
51,246
89,98
26,209
72,69
162,142
53,196
32,53
103,76
35,254
88,69
32,71
